title,agency,career_level,salary_range_from,salary_range_to
ASYLUM MIGRATION BUDGET ANALYST,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),70611,81203
Environmental & Safety Coordinator,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),74041,107227
Claims Examiner,FIRE DEPARTMENT,Experienced (non-manager),41389,47597
Deputy Director of Finance,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),84451,105000
Field Technician,DEPT OF PARKS & RECREATION,Experienced (non-manager),60000,67000
Field Technician,DEPT OF PARKS & RECREATION,Experienced (non-manager),60000,67000
Fiscal Analyst- Bureau of Hepatitis- HIV and STI,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),56013,75000
Section Chief of Lifecycle Management,DEPT OF ENVIRONMENT PROTECTION,Manager,64922,173486
Quality Control Coordinator,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),59116,75000
ACCOUNTABLE MANAGER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),90114,122168
Asbestos Enforcement Inspector,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,52923,52923
Outreach Assistant- Bureau of Veterinary and Pest Control Services,DEPT OF HEALTH/MENTAL HYGIENE,Entry-Level,32520,42191
Procurement Analyst 2,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),50972,82730
Electrical Engineer,DEPARTMENT OF SANITATION,Experienced (non-manager),90114,122168
Associate Laboratory Microbiologist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),63962,89003
Assistant General Counsel,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),71423,107032
Computer Service Technician,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),44404,65888
Director of Employee Services â Bureau Administrator,DEPT OF ENVIRONMENT PROTECTION,Manager,80931,208826
Senior Staff Engineer- General/Building,OFFICE OF THE COMPTROLLER,Manager,102000,116000
LEGAL ASSISTANCE HOUSING COURT LIAISON,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),53057,61015
Domestic Violence Bureau: File Clerk,BRONX DISTRICT ATTORNEY,Entry-Level,37398,37398
Timekeeper,LAW DEPARTMENT,Experienced (non-manager),36390,58953
Public Health Inspector- Bureau of Food Safety and Community Sanitation (BFSCS),DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),45722,45722
SUPERVISOR PLUMBER,NYC HOUSING AUTHORITY,Experienced (non-manager),55.29,55.29
FINANCIAL SYSTEMS RELEASE MANAGER,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),75000,135000
Strategic Projects Analyst,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),62470,80008
Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),39763,60350
CITY RESEARCH SCIENTIST,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),75504,94761
CASE MANAGEMENT TEAM LEADER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),60793,69912
Crew Chief-  Bureau of Veterinary and Pest Control Services.,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),39859,45838
SUPERVISOR OF VENDOR PAYMENT UNIT,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),58695,67499
Deputy Director for Clean Energy,DEPT OF ENVIRONMENT PROTECTION,Manager,130000,160000
Staff Manager,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),84451,113550
Agency Attorney- Workers Rights,OFFICE OF THE COMPTROLLER,Experienced (non-manager),85000,95000
Calendar Unit Clerk,ADMIN TRIALS AND HEARINGS,Experienced (non-manager),51209,60000
Procurement Anlayst III,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),60010,100875
Program Director,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),64922,135000
Director of Program Finance and Operations,DEPARTMENT OF BUSINESS SERV.,Manager,80000,85000
Tech Support Engineer - IT Division,LAW DEPARTMENT,Entry-Level,66597,76587
Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),36390,55228
CASE RESOLUTION SPECIALIST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),42389,71046
Digital Collections Archivist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),61469,87863
Radio Room Operator,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),40091,54018
ELEVATOR MECHANIC,NYC HOUSING AUTHORITY,Experienced (non-manager),59.09,59.09
Call Agent,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),37413,60310
Community Mental Health Monitor- Bureau of Mental Health/Assisted Outpatient Treatment Program,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),54100,64000
Engineer- Building Optimization,DEPT OF CITYWIDE ADMIN SVCS,Manager,90000,95000
Information Security Specialist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),130000,180000
Trial Preparation Assistant  LV 2- Discovery Compliance Bureau,BRONX DISTRICT ATTORNEY,Experienced (non-manager),50000,50000
ACCOUNTABLE MANAGER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),56972,155020
Biothreat Response Unit Supervisor- Bureau of the Public Health Laboratory,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),84468,100000
Blaze Architect,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),120000,130000
Technical Assistant,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),75562,106853
Contract Specialist,NYC HOUSING AUTHORITY,Experienced (non-manager),45377,76959
Discovery Compliance Bureau: Deputy Bureau Chief,BRONX DISTRICT ATTORNEY,Manager,170000,182000
Project Manager,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),67757,77921
Water Quality Scientist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),80103,100532
Problem Resolution Specialist- Bureau of the Public Health Laboratory,DEPT OF HEALTH/MENTAL HYGIENE,Entry-Level,54100,62215
Data Analyst- Bureau of Epidemiology Services,DEPT OF HEALTH/MENTAL HYGIENE,Entry-Level,64140,64140
Employee Assistance Program Specialist,FIRE DEPARTMENT,Experienced (non-manager),54878,54878
Assistant Counsel,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),79620,117541
Senior EHS Specialist â Assessments and Measurement,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),84468,111003
Payment Specialist â SEHD,ADMIN TRIALS AND HEARINGS,Experienced (non-manager),53797,61866
Project Lead â Bike Unit,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),67757,80000
CS Case Navigator- Bureau of Vital Statistics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),43728,68645
Deputy Commissioner- Public Information,FIRE DEPARTMENT,Executive,106729,213210
CA PERT SENIOR CASE REVIEWER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),58695,67499
APPLICATION DEVELOPER,OFFICE OF EMERGENCY MANAGEMENT,Experienced (non-manager),90000,105000
Payment Specialist â SEHD,ADMIN TRIALS AND HEARINGS,Experienced (non-manager),53797,61866
CASEWORKER,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),44009,50610
Junior Director of Physical Accessibility,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),74710,100812
CASEWORKER,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),44009,50610
RAP / LINC RENEWAL WORKER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),51715,51715
Inspector- Bureau of Veterinary and Pest Control Services,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),49961,49961
Team Leader- Bureau of Maternal Infant and Reproductive Health,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),54100,75000
Public Health Advisor I- Bureau of Hepatitis- HIV- and STI,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),39096,50489
Physician- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),82.23,88.13
Desktop Support Technician for the Division of HPD Tech,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),54100,79000
Business Analyst,NYC HOUSING AUTHORITY,Experienced (non-manager),56013,84862
Investigator,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),45113,55000
Payroll Clerk,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),36390,58953
Data Quality Analyst,FIRE DEPARTMENT,Experienced (non-manager),84468,111003
Apprentice Inspector (H&S) - HIQA,DEPARTMENT OF TRANSPORTATION,Entry-Level,33019,51891
Confidential Investigator,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),50000,50000
Senior IT Systems Specialist (Cloud and Infrastructure),DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),92194,130372
RAP / LINC RENEWAL WORKER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),42389,71046
Project Manager,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),67757,77921
Research Scientist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),64140,77609
OFFICE MANAGER,FIRE DEPARTMENT,Experienced (non-manager),54100,83981
College Aide- Bureau of Vital Statistics,DEPT OF HEALTH/MENTAL HYGIENE,Student,15.5,19.9
Investigative Auditor,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),45113,55000
Scientist Water Ecologist- Bureau of Environmental Sciences and Engineering,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),45439,52255
Chief Auditor- Energy Code,DEPARTMENT OF BUILDINGS,Experienced (non-manager),58682,125424
Plumber's Helper,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,36.95,36.95
Deputy General Counsel,DEPARTMENT OF CORRECTION,Manager,130000,150000
AGENCY ATTORNEY II,HUMAN RIGHTS COMMISSION,Experienced (non-manager),71423,82137
Area Engineer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),53702,148745
Attorney- Law Division,OFFICE OF THE COMPTROLLER,Experienced (non-manager),77000,93500
Data Analyst,BUSINESS INTEGRITY COMMISSION,Entry-Level,54100,65000
ASSISTANT PROJECT MANAGER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),57078,85646
Childcare Inspection Supervisor,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),60437,93935
EXECUTIVE DIRECTOR- OFFICE OF REGULATORY COMPLIANCE AND ACCO (ORCA),HRA/DEPT OF SOCIAL SERVICES,Executive,72038,130000
Domestic Violence Bureau: File Clerk,BRONX DISTRICT ATTORNEY,Entry-Level,37398,37398
Senior Writer,NYC HOUSING AUTHORITY,Experienced (non-manager),84451,105000
Initiative Manager,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),59116,91768
College Aide,DEPT OF ENVIRONMENT PROTECTION,Student,15.5,19.9
Electrician,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),440.16,440.16
Unit Chief of the Professional Responsibility Unit,BRONX DISTRICT ATTORNEY,Manager,150000,160000
Assistant District Attorney -  	Violent Criminal Enterprise Bureau,BRONX DISTRICT ATTORNEY,Experienced (non-manager),80440,167610
ACCOUNTABLE MANAGER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),90114,122168
SILVER STAR PROCUREMENT ANALYST,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),35,40
Vehicle Licensing Specialist,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),36390,58953
Instrument Person,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),62415,71777
Policy Analyst- Performance Management and Reporting- Mayor's Office of Operations,MAYORS OFFICE OF CONTRACT SVCS,Entry-Level,54100,62215
Outreach Associate for Historic Houses,DEPT OF PARKS & RECREATION,Experienced (non-manager),41887,69709
Cyber Engagement Manager,TECHNOLOGY & INNOVATION,Experienced (non-manager),75000,115000
Special Assistant,DEPARTMENT OF FINANCE,Experienced (non-manager),75000,84000
SENIOR ORACLE PL/SQL DEVELOPER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),98901,136951
SENIOR RACKETS INVESTIGATOR,DISTRICT ATTORNEY KINGS COUNTY,Experienced (non-manager),66136,94541
MAINFRAME SYSTEMS PROGRAMMER,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),0,140000
Network Operations Engineer,DEPT OF PARKS & RECREATION,Experienced (non-manager),85000,95000
Contract Manager,DEPARTMENT OF SANITATION,Experienced (non-manager),60193,90704
Business Manager,DEPARTMENT OF CORRECTION,Experienced (non-manager),49449,70497
Summer Intern,DEPARTMENT OF TRANSPORTATION,Student,15,17.5
Project Coordinator,DEPARTMENT OF CORRECTION,Experienced (non-manager),65731,75591
Section Chief of Lifecycle Management,DEPT OF ENVIRONMENT PROTECTION,Manager,90114,122168
Summer Rising Program Manager,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),32.3569,50.2288
SYSTEMS PROGRAMMER,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),130000,145000
Crime Analyst - Rikers Island Prosecution Bureau,BRONX DISTRICT ATTORNEY,Experienced (non-manager),54786,54786
Part-Time Electrician,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),62.88,62.88
Project Manager for the Division of Strategic Operations and Analytics,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),62000,66950
Research Scientist,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),64140,64140
IFA Coordinator,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
IFA Coordinator,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
Geospatial Software Engineer,DEPARTMENT OF SANITATION,Experienced (non-manager),100000,160000
UNIT CLERK,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),36390,41848
Comptroller  Water Finance Authority,MUNICIPAL WATER FIN AUTHORITY,Executive,150000,208826
OPIOID OVERDOSE PREVENTION PROGRAM COORDINATOR,HRA/DEPT OF SOCIAL SERVICES,Entry-Level,54100,70000
Discovery Specialist,DISTRICT ATTORNEY RICHMOND COU,Entry-Level,50000,55000
Conference Facilitator,ADMIN FOR CHILDREN'S SVCS,Experienced (non-manager),73027,83981
Lead Home Visitor,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),47155,60088
Associate Laboratory Microbiologist II- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),77201,77201
ASSISTANT CIVIL ENGINEER,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),57078,85646
WEB APPLICATION DEVELOPER,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),110000,115000
Deputy Commissioner- Environmental Compliance,DEPT OF ENVIRONMENT PROTECTION,Executive,225000,245000
Analyst  Stimulus and Recovery Grant Analysis,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,65604
Supervising Assistant District Attorney: Discovery Compliance Bureau,BRONX DISTRICT ATTORNEY,Manager,135000,165000
Director of Finance,LAW DEPARTMENT,Manager,152721,152721
Project Manager- Single Family Home Resiliency,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),67500,77500
Economic Analyst,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),80103,100532
CASE MANAGEMENT TEAM LEADER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),66430,76394
EARD TEAM LEADER,DEPARTMENT OF CITY PLANNING,Experienced (non-manager),73294,84288
COORDINATED ENTRY PROJECT AND SYSTEM COORDINATOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),54100,62215
Labor Relations Attorney III,DEPARTMENT OF CORRECTION,Experienced (non-manager),79620,91563
TRANSPORTATION AND INFRASTRUCTURE PROGRAM MANAGER,OFFICE OF EMERGENCY MANAGEMENT,Experienced (non-manager),65000,74000
Project Engineer,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),90114,122168
CASEWORKER,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),44009,50610
Paralegal- Administrative Enforcement,DEPARTMENT OF BUILDINGS,Experienced (non-manager),47203,54283
Structural Engineer,NYC HOUSING AUTHORITY,Experienced (non-manager),80557,111917
Laboratory Associate II- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Entry-Level,49033,52545
Public Health Advisor II- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),47155,54228
Associate Project Manager,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),67757,98128
Mainframe Development Lead,FINANCIAL INFO SVCS AGENCY,Manager,140000,150000
Machinist Helper,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,281.68,327.76
Forensic Photographer (per diem),DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),24.3547,27.5205
Program Coordinator- Low and Zero Emission Vehicle Programs,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),54100,83981
Accountant,NYC HOUSING AUTHORITY,Experienced (non-manager),59423,95067
Senior Rackets Investigator,BRONX DISTRICT ATTORNEY,Experienced (non-manager),70877,70877
Procurement Manager- Bureau of Hepatitis- HIV and STI,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),65232,90000
Project Manager,ADMIN FOR CHILDREN'S SVCS,Experienced (non-manager),58700,123160
Programs Analyst,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),55208,70000
Project Development Coordinator for Sustainability,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
Project Development Coordinator for Sustainability,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
Executive Director of Program Operations,DEPARTMENT OF CORRECTION,Manager,72038,120000
Field Tech - Emergency Operations Division (EOD) Emergency Repair Program (ERP),HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),77921,77921
Deputy Director for the Legal Support Unit- Division of Tenant Resources,HOUSING PRESERVATION & DVLPMNT,Manager,85000,95000
Systems Administrator/VMWare Engineer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),75000,140000
COMMUNICATIONS COORDINATOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),54100,68048
Associate Director  FEDERAL AND STATE GRANTS MONITORING,OFFICE OF MANAGEMENT & BUDGET,Executive,185886,185886
Veterinarian-  Bureau of Veterinary and Pest Control Services,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),60.54,64.87
STATIONARY ENGINEER,DEPT OF RECORDS & INFO SERVICE,Experienced (non-manager),508.8,508.8
CASHIER PROCESSOR,HRA/DEPT OF SOCIAL SERVICES,Entry-Level,36390,58953
ACCOUNTABLE MANAGER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),80557,111917
Supervising Economist,OFFICE OF THE COMPTROLLER,Manager,105000,120000
Engineer- Building Optimization,DEPT OF CITYWIDE ADMIN SVCS,Manager,90000,95000
.Net Programmer/Analyst for the Division of HPD Tech,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),103736,113736
STATIONARY ENGINEER,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),508.8,508.8
Senior Director- Agency Planning and Implementation,DEPT OF CITYWIDE ADMIN SVCS,Manager,120000,135000
Payment Analyst,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),49543,72239
Group Head- Alternative Investments Middle and Back Office Support,OFFICE OF THE COMPTROLLER,Manager,110000,130000
ASSISTANT DEPUTY COMMISSIONER- NETWORK-TELEPHONY& CLIENT SER,HRA/DEPT OF SOCIAL SERVICES,Manager,80931,208826
Expeditor - Complaint Room,BRONX DISTRICT ATTORNEY,Entry-Level,44083,63794
Automotive Service Worker,DEPT OF PARKS & RECREATION,Entry-Level,17.47,17.47
Automotive Service Worker,DEPT OF PARKS & RECREATION,Entry-Level,17.47,17.47
Deputy Director of CoC Contracts for the Division of Housing Opportunity & Program Services,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),81571,91075
DESKTOP SUPPORT TECHNICIAN,OFFICE OF EMERGENCY MANAGEMENT,Experienced (non-manager),57000,76000
Clerical Associate,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,40017,62820
WTC Case Management Nurse,FIRE DEPARTMENT,Experienced (non-manager),84744,84744
Visit Facilitator,DEPARTMENT OF CORRECTION,Experienced (non-manager),38333,44083
Assistant General Counsel,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),63228,96526
Recruitment Specialist,BRONX DISTRICT ATTORNEY,Experienced (non-manager),60000,60000
PLANNING SPECIALIST,OFFICE OF EMERGENCY MANAGEMENT,Experienced (non-manager),57500,64500
Senior Grant Manager- Bureau of Grants Management and Administration,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),63952,81000
Operations Research Analyst,FIRE DEPARTMENT,Experienced (non-manager),84468,111003
PROGRAM OPERATIONS BUDGET ANALYST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),70611,81203
Junior Summer Camp Counselor,DEPT OF PARKS & RECREATION,Entry-Level,15.45,15.45
Senior Building Energy and Emissions Auditor,DEPARTMENT OF BUILDINGS,Experienced (non-manager),58682,120000
Architect,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),67757,98128
Public Health Navigator- Bureau of Maternal Infant and Reproductive Health,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),47155,55000
Traffic Device Maintainer,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),51317,67044
HR Licensed Clinician,BRONX DISTRICT ATTORNEY,Experienced (non-manager),83000,83000
DIRECTOR OF GOVERNMENT GRANTS,HRA/DEPT OF SOCIAL SERVICES,Manager,94283,122290
Contracts Analyst- Family and Child Health Administration,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),60010,80000
Outreach Coordinator,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),54100,83981
DESIGN ENGINEER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),80557,111917
CASE MANAGEMENT SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),56677,65179
SECRETARY TO THE FIRST ASSISTANT CORPORATION COUNSEL,LAW DEPARTMENT,Experienced (non-manager),63455,86845
Summer Rising Program Manager,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),32.3569,50.2288
EXECUTIVE ASSISTANT,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),58695,67499
HR Business Partner Recruiter- Bureau of Human Resources and Labor Relations,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),54100,75000
Plumbing and Fire Suppression Engineer,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),125000,146121
ELIGIBILITY SPECIALIST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),40062,46071
Plumbing Inspector,DEPARTMENT OF BUILDINGS,Experienced (non-manager),53563,61800
Program Manager- Advance & Earn,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),54100,83981
Community Climate Resiliency Coordinator- Bureau of Environmental Surveillance and Policy  0069,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),64140,70554
Assistant Corporation Counsel - Family Court,LAW DEPARTMENT,Experienced (non-manager),75121,133040
Human Resources Business Partner-  Bureau of Finance- Administration and Services,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),60718,80000
Project Manager,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),57078,65640
HOUSING EXTERMINATOR L1,NYC HOUSING AUTHORITY,Entry-Level,33558,54820
City Research Scientist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),64140,77609
ASBESTOS HAZARD INVESTIGATOR,NYC HOUSING AUTHORITY,Experienced (non-manager),54410,81645
TELECOMMUNICATION COORDINATOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),58695,67499
Agency Attorney Level III,FIRE DEPARTMENT,Experienced (non-manager),79620,117541
FACILITY ASSISTANT/PURCHASING/INVENTORY CLERK,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),36390,58953
Assistant Inspector General,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),64230,80850
Fiscal officer,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),56013,89610
Investment Officer- Private Equity,OFFICE OF THE COMPTROLLER,Manager,110000,133900
Assistant Program Risk Manager,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),53797,73243
Assistant General Counsel,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),104097,104097
Data Analystâ Racial Profiling and Biased Policing Investigations Unit,CIVILIAN COMPLAINT REVIEW BD,Experienced (non-manager),75504,94761
Clerical Support for the Division of Code Enforcement,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),41887,48170
Project Manager- Single Family Home Resiliency,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),67500,77500
PREA COMPLIANCE MANAGER,DEPARTMENT OF CORRECTION,Experienced (non-manager),61302,70497
Watershed Maintainer - 2 positions,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,44838,44838
Director of Open Restaurants,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),74730,161534
Content Producer,OFF OF PAYROLL ADMINISTRATION,Experienced (non-manager),56148,70000
Kids in Motion Playground Associate,DEPT OF PARKS & RECREATION,Entry-Level,17.72,17.72
SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),46700,68092
Administrative Support for the Division of Special Enforcement (DSE-SEU),HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),54100,62215
Senior Project Manager,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),85000,85000
